tournament,is_friendly,is_competitive,competition_family,confederation_scope,notes
CONIFA World Cup qualification,false,true,other_competition,global,CONIFA World Cup qualifying
CONIFA World Football Cup qualification,false,true,other_competition,global,CONIFA tournament qualifying
CONMEBOL–UEFA Cup of Champions,false,true,other_competition,global,Finalissima / UEFA–CONMEBOL cup
COSAFA Cup qualification,false,true,regional_qualification,caf,COSAFA Cup qualifying
Canadian Shield,false,true,regional_competition,concacaf,Canadian regional competition
ConIFA Challenger Cup,false,true,other_competition,global,CONIFA naming variant in source data
Copa América qualification,false,true,continental_qualification,conmebol,Copa América qualifying
Copa Confraternidad,false,true,regional_competition,conmebol,South American invitational trophy
Copa Paz del Chaco,false,true,regional_competition,conmebol,Bolivia–Paraguay regional cup
Copa del Pacífico,false,true,regional_competition,conmebol,Pacific derby invitational
Corsica Cup,false,true,regional_competition,uefa,Corsica invitational
Coupe de l'Outre-Mer,false,true,regional_competition,uefa,French overseas territories cup
Cyprus International Tournament,false,true,regional_competition,uefa,Cyprus-hosted invitational
Diamond Jubilee International Football Tournament,false,true,regional_competition,afc,South Asia invitational hosted in the Maldives
Dragon Cup,false,true,regional_competition,afc,Vietnam-hosted invitational
EAFF Championship qualification,false,true,regional_qualification,afc,East Asian championship qualifying
ELF Cup,false,true,other_competition,global,Alternative / invitational tournament
East Asian Games,false,true,regional_competition,afc,Multisport games football
FIFA Series,false,true,other_competition,global,Official FIFA international window series / friendlies cluster
FIFI Wild Cup,false,true,other_competition,global,Non-standard invitational tournament
Gold Cup,false,true,continental_championship,concacaf,CONCACAF Gold Cup shorthand in source
Gold Cup qualification,false,true,continental_qualification,concacaf,CONCACAF Gold Cup qualifying shorthand
Hungary Heritage Cup,false,true,regional_competition,uefa,Hungary invitational
Indian Ocean Island Games,false,true,regional_competition,global,Indian Ocean multisport games football
Inter Games,false,true,regional_competition,global,Regional multisport games football
"International Tournament of Peoples, Cultures and Tribes",false,true,other_competition,global,Invitational tournament
Island Games,false,true,regional_competition,global,Island multisport games football
Jordan International Tournament,false,true,regional_competition,afc,Jordan-hosted invitational
Kirin Challenge Cup,false,true,regional_competition,afc,Kirin Cup naming variant
Lunar New Year Cup,false,true,regional_competition,afc,Hong Kong invitational
MSG Prime Minister's Cup,false,true,regional_competition,ofc,Melanesian invitational
Mahinda Rajapaksa Cup,false,true,regional_competition,afc,Sri Lanka invitational
Malta International Tournament,false,true,regional_competition,uefa,Malta-hosted invitational
Mapinduzi Cup,false,true,regional_competition,caf,Zanzibar invitational
Marianas Cup,false,true,regional_competition,ofc,Northern Marianas invitational
Mauritius Four Nations Cup,false,true,regional_competition,caf,Mauritius invitational
Merdeka Tournament,false,true,regional_competition,afc,Malaysia Merdeka Cup
"Morocco, Capital of African Football",false,true,regional_competition,caf,Morocco-hosted invitational
Mukuru 4 Nations,false,true,regional_competition,caf,Southern Africa invitational
Muratti Vase,false,true,regional_competition,uefa,Channel Islands senior match trophy
Nations Cup,false,true,other_competition,global,Generic nations cup label in source data
Navruz Cup,false,true,regional_competition,afc,Central Asia invitational
Niamh Challenge Cup,false,true,other_competition,global,Minor invitational
Nile Basin Tournament,false,true,regional_competition,caf,Nile basin invitational
OSN Cup,false,true,regional_competition,afc,Gulf-area invitational cup
Oceania Nations Cup,false,true,continental_championship,ofc,OFC Nations Cup
Oceania Nations Cup qualification,false,true,continental_qualification,ofc,OFC Nations Cup qualifying
Outrigger Challenge Cup,false,true,regional_competition,ofc,Pacific invitational
Pacific Games,false,true,regional_competition,ofc,Pacific multisport games football
Pacific Mini Games,false,true,regional_competition,ofc,Pacific mini multisport games football
Palestine International Championship,false,true,regional_competition,afc,Palestine-hosted invitational
Philippine Peace Cup,false,true,regional_competition,afc,Philippines invitational
Soccer Ashes,false,true,regional_competition,ofc,Australia–New Zealand challenge
South Asian Super Cup,false,true,regional_competition,afc,South Asia invitational
South Pacific Games,false,true,regional_competition,ofc,South Pacific multisport games football
Superclásico de las Américas,false,true,other_competition,conmebol,Argentina–Brazil showcase match
Three Nations Cup,false,true,regional_competition,global,Tri-team invitational (context varies)
Tri Nation Tournament,false,true,regional_competition,global,Tri-team invitational
Tri-Nations Cup,false,true,regional_competition,afc,AFC tri-team invitational hosted in the Philippines
Tri-Nations Series,false,true,regional_competition,global,Tri-team series
Tynwald Hill Tournament,false,true,regional_competition,uefa,Isle of Man invitational
Unity Cup,false,true,other_competition,global,Invitational tournament
VFF Cup,false,true,regional_competition,afc,Vietnam Football Federation invitational
Viva World Cup,false,true,other_competition,global,Non-FIFA invitational predecessor era
Windward Islands Tournament,false,true,regional_competition,concacaf,Windward Islands football tournament
World Unity Cup,false,true,other_competition,global,Invitational tournament
